Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Zum Brazil;Line Up Eventos LTDA;(71) 3486-7856;(71) 3486-7856;zumbrazil@zumbrazil.com.br;http://www.zumbrazil.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Muquiranas Producoes e Eventos;Muquiranas Producoes e Eventos Ltda;(71) 3328-5820;(71) 98154-0338;asmuquiranas@asmuquiranas.com.br;http://asmuquiranas.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Allanbick Producoes;Butikim Eventos Culturais Ltda;(77) 3613-2525;(77) 99985-1100;mairasalvatico@gmail.com;http://www.allanbickproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ara Ketu;Mw Produções e Eventos Ltda;(71) 99178-3666;(71) 99178-3666;shows@araketu.com.br;http://Www.araketu.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Join Produções;Mina Produções E Eventos LTDA;(71) 98132-5220;;camila@joinproducoes.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Nucleo 55 Producoes Artisticas;Nucleo 55 Producoes Artisticas Ltda;(71) 3337-0509;(71) 99102-7072;leoferreira@nucleo55.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Teatro Loccitane;Musica em Trancoso Empreendimentos Culturais Ltda;(11) 94036-6633;(11) 94036-6633;contato@teatroloccitane.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Camarote Club;2c Eventos Ltda;(71) 3052-6012;(71) 3052-6012;neiavila@luanpromocoes.com.br;http://www.camarotecluboficial.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Multi Eventos LTDA;Multi Eventos LTDA;(71) 9165-7815;;assistentemultimkteventos@gmail.com;https://www.gmulti.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
People Equipamentos;People Organizacao e Locacao de Equipamentos Para Eventos Ltda – Me;(71) 3461-5753;(71) 98205-5451;contato@peopleequipamentos.com.br;https://www.peopleequipamentos.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ticket Maker;Ddn Serviços de Software Ltra;(71) 8199-2429;(71) 98199-2429;adelmo.pereira@digita.com.br;http://www.ticketmaker.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Hit Tour;Hit Viagens E Turismo LTDA;(71) 3181-0010;(71) 99324-1010;gabriel@hittour.com.br;http://www.hittour.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Arena Eventos;Arena Eventos Axe Moi Ltda;(73) 3288-8921;(73) 8802-3858;leticia@grupohills.com.br;http://www.axemoi.com.br%20/%20www.carnaporto-aqxemoi.com.br%20/%20www.reveillon-axemoi.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
