Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Rs Eventos;Rs Eventos E Locaçoes LTDA;(88) 99611-1300;(88) 99611-1300;talitakercia04@icloud.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Colosso Fortaleza;Colosso Entretenimentos Ltda ME;(85) 98124-6185;(85) 98632-5430;zericardo@colossofortaleza.com;http://www.colossofortaleza.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Nativa Live;Nativa Promocao de Eventos Ltda;(85) 3261-2022;(85) 9986-5408;nativa@nativalive.com.br;http://www.nativalive.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mega Som;Jose Devanilton Soares Eireli Me;(88) 3521-3070;(88) 3521-3070;megasomce@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Descanso do Guerreiro;Mundi Empreendimentos Culturais Eirelli;(85) 99107-3700;(85) 99107-3700;descansodoguerreiro@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Arte Producoes;Arte Producoes de Eventos Artisticos e Locacoes Ltda;(85) 3033-1010;(85) 98142-2831;rodrigo@arteproducoes.com;http://www.arteproducoes.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Montagio Produções;Led Door Comunicação Digital Ltda;(85) 3111-0217;(85) 98881-0022;elany@montagioproducoes.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rb Music Entretenimentos;R. A. Benevides Entretenimentos;(11) 3063-5093;(85) 99997-8522;ronald.rbmusic@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Caixa de Evento;Dh de Oliveira Silva Eventos;(85) 98797-9317;(85) 98797-9317;kassio@caixadeevento.com.br;https://caixadeevento.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Multi Entretenimento;Multi Entretenimento Producoes, Shows e Eventos Ltda;(85) 3033-1010;(85) 98823-5289;natanael@multientretenimento.com;http://www.multientretenimento.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
D&e Entretenimento;D e E Entretenimento e Eventos Ltda;(85) 3052-9900;(85) 98829-8484;beto@deradio.com.br;http://www.deeprodutora.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Social Music;Rf Comunicacao e Promocao Ltda.;(85) 3264-8091;(85) 98180-3323;pedroneto@socialmusic.com.br;http://www.socialmusic.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Crystal Eventos;Crystal Eventos Artísticos e Culturais Ltda;(85) 98821-9324;(85) 98821-9324;guilherminobenevides@yahoo.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Free Lancer Produccoes;Espanhol e Cruz Ltda ME;(85) 99174-7070;;liege@freelancerproduccoes.com.br;http://www.freelancerproduccoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
2fx Participacoes;2fx Participacoes LTDA;(85) 99983-2828;;financeiro@2fun.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Camarote Shows;Jjyw Entretenimento Ltda;(85) 99996-0076;(85) 99621-1000;firmoluiz@camaroteshows.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Carnailha Promocoes - Fortal;Carnailha Empreendimentos e Publicidade Ltda;(85) 3261-4050;(85) 99143-6305;colombocialdini@hotmail.com;http://www.fortal.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
W.i Eventos;W.i Eventos Ltda;(85) 99938-7690;(85) 99938-7690;idnaholanda@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rc Eventos;J Roberto Saraiva Costa;(85) 99986-2011;(85) 99986-2011;shirleytania@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Austin;Austin Empreendimentos Artisticos E Gastronomicos LTDA ME;(85) 98938-1474;(85) 98938-1474;marketingaustinpub@gmail.com;http://www.austinpub.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
