Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Vertente Empreendimentos e Eventos;Vertente Empreendimentos Comerciais e Eventos Ltda;(61) 99823-0073;(61) 4101-0833;vertenteempreendimentosdf@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Time Evento Producoes;Time Evento Producoes Eireli;(61) 3342-2232;(61) 98421-5174;thiagojaguar@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ac Eventos;Ac Eventos Eireli Me;(61) 3342-2232;(61) 98421-8838;acicarvalho@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Br Projects;Br Projects Ltda.;(61) 98100-2279;(61) 98100-2279;josepedro@brprojects.art;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Influenza Producoes;Influenza Producoes Ltda;(61) 98599-1591;(61) 9917-4764;financeiro@influenzaproducoes.com;https://www.influenzaproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
F2mais;F2 Entretenimento Eireli;(61) 30341-4896;(61) 30341-4896;contato@f2mais.com.br;http://www.f2mais.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Producoes R2;R2b Producoes e Eventos Ltda;(61) 99660-1155;(61) 99660-1155;gilberto.soares@producoesr2.com.br;http://www.producoesr2.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Oh! Artes;Oh! Artes, Publicidade, Produção e Eventos Ltda Epp;(61) 3554-0054;(61) 98141-1990;joao.maione@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Arena Bsb;Arena Bsb Spe SA;(61) 4103-3553;(61) 8227-3339;jc@arenabsb.com.br;http://arenabsb.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mobilecorp;Cristian Ferreira de Souza – Me;(61) 98103-3855;(61) 98103-3855;cristian.souza.gtalk@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rc Producoes e Eventos;Rc Producoes e Eventos Eireli;(61) 98157-0519;(61) 98157-0519;rcproducoes@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Musimix;Musimix Produtora de Eventos Ltda.;(61) 99267-1234;(61) 99267-1234;musimix@musimix.com.br;http://www.bandarockbeats.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Deu Certo Producoes de Marketing;Deu Certo Producoes Artísticas e Entretenimento Eireli;(61) 8245-9780;(61) 8471-3178;deucertoprodutora@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
