Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Lebillet;Lebillet Ingressos e Tecnologia Ltda;(27) 99238-5818;(27) 99238-5818;leonardo@lebillet.com.br;http://lebillet.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Superticket Tecnologia;Superticket Tecnologia Ltda ME;(27) 98129-3875;(27) 98129-3875;plinio@superticket.com.br;http://www.superticket.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Leo Producoes;Leonardo Caetano Eireli;(27) 3721-9829;(27) 99848-3347;leoproducoes.es@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Farol Music;Farol Music – Me;(27) 99254-4965;(27) 99254-4965;adm@silva.tv;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Alliance Entertainment;Alliance Entertainment Ltda;(27) 99255-9558;;julimar.cazotto@allianceentertainment.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Praia do Canto - Gordinho;Bolsoni & Werneck Carnes E Bebidas Ltda;(27) 99989-7772;(27) 99897-4027;fabriciocoelhodias@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Na Vista;Lp Produções e Eventos Ltda;(27) 99256-1020;(27) 99971-9677;pablocottapacheco@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gui Ferreira Produções;Guilherme Henrique Barbosa Ferreira – ME;(27) 99810-9472;;guiferreiraproducoes@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Matrix Music Hall;Esportivo Society Ball Gauchao Ltda;(27) 3336-4776;(27) 98802-3242;contato@matrixshows.com.br;http://www.matrixmusichall.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Aquarius Representacoes e Eventos;Marcio Alves Representacoes e Eventos Eireli – Me;(27) 98189-4000;(27) 99517-4834;alvesrodrigues.marcio@gmail.com;http://www.aquariusproducoes.com.br.%20Instagram;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Renato Grijo Sodini;Back Stage Eventos LTDA;(27) 99641-8411;;renatogrijo@globo.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Squad (grupo Águia Branca);Squad Viagens E Turismo LTDA;(71) 9974-8679;;abnerm@aguiabranca.com.br;https://voudesquad.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Lets Vila Velha;Villa Shows Ltda – Me;(27) 3075-0404;(27) 3075-0101;producaoilhashows@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Reserva Show;Reserva Show Produção LTDA;(27) 99785-0695;(11) 91019-0695;reservashowoficial@gmail.com;http://reservashow.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Farol Music;Farol Music – Me;(27) 99254-4965;(27) 99254-4965;adm@silva.tv;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Goticket e P12;Goticket Automacao e Sistemas Eireli Me;(27) 3017-1261;(27) 99225-0066;gustavoballadas@globo.com;http://goticket.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
