Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
America Show E Eventos;America Shows E Eventos LTDA;(62) 9230-5355;;felipe@triplica.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Master Effects;Master Effects Producao de Efeitos Especiais Eireli – Me;(62) 98221-4801;(62) 98221-4801;contato@mastereffects.com.br;http://www.mastereffects.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Duettos Music;Duettos Music LTDA;(62) 99876-8445;(62) 99109-9766;diretoria@duettosmusic.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
H&g Producoes;Segunda Gestao Producoes Artísticas e Eventos Ltda;(62) 8222-7600;(62) 9982-0005;financeiro@hugoeguilherme.com.br;http://www.workshow.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Claves Produções LTDA;Claves Produçoes LTDA;(62) 3636-4999;(62) 99976-2715;domingas@terra.com.br;http://www.clavesproducoesltda.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Vida Nova Producoes;Vida Nova Producoes E Eventos LTDA EPP;(62) 9277-0197;;constantinohej76@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Monteiro Negocios E Publicidade;Lr Monteiro Vendas, Comercio E Servicos;(62) 9536-4646;;comercial@monteiropublicidade.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Eme 2 Music;Eme 2 Producoes E Eventos LTDA;(62) 9260-5939;;showseme2music@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Alive Produções Artisticas;Rtistica LTDA;(62) 3095-1039;;fatima@alokmusic.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Cenarium Stands;Cenarium Stands LTDA;(62) 99121-0376;(62) 99121-0376;roger@cenariumstands.com.br;http://www.cenariumstands.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Lets Go Entretenimento;Lets Go Entretenimento LTDA;(62) 99966-3636;(62) 99966-3636;aguiar@letsgoproducoes.com.br;https://letsgoproducoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Unica Hits;Unica Productions Producoes Artistica Eirelli;(41) 4042-3993;(41) 4042-3993;contato@unicahits.com;https://www.unicahits.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Tierry Producoes;Tierry Producoes Artisticas Ltda;(62) 3241-7163;(62) 99944-3121;danyellam@hotmail.com;https://www.tierry.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Baladapp;Balada Bilheteria Digital LTDA;(62) 3434-8450;(62) 99454-5279;thomas.hdsg@hotmail.com;https://baladapp.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
B2 Goiania;Fm2 Producoes Eireli;(62) 3921-8600;(62) 99702-5558;patricia.faria@grupobold.com.br;https://www.sejab2.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Marolla Eventos;Marolla Eventos e Shows Eireli;(91) 98105-4989;(62) 99808-6262;charles.marolla@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Douglas Duarte Advocacia;Douglas Duarte Sociedade Individual de Advocacia;(62) 99837-4685;(62) 99837-4685;duarteneves1@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mega Produções Artisticas;Mega Produções Artisticas LTDA;(62) 3639-6132;;rh@megaproducoesartisticas.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Jgwi;Jgwi Entretenimento Ltda;(62) 3361-0203;(31) 99347-4296;jgwientretenimento@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Master Effects;Master Effects Producao de Efeitos Especiais Eireli – Me;(62) 98221-4801;(62) 98221-4801;contato@mastereffects.com.br;http://www.mastereffects.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
