Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Os Movidos Promocoes e Eventos;Os Movidos Promocoes e Eventos Ltda;(67) 98176-1116;(67) 98176-1116;osmovidospromocoeseeventos@gmail.com;http://www.osmovidos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ej Producoes E Eventos;Diniz Entretenimento LTDA;(67) 99264-8102;(67) 99817-8787;financeiro@loubet.com.br;http://www.loubet.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Pedro Silva Promocoes e Jamelao;Jose Pedro da Silva Promocoes;(67) 3301-7029;(67) 99906-9955;pedrosilvapromocoes@terra.com.br;https://pedrosilvapromocoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Zero67 Producoes e Eventos;Zero67 Producoes e Eventos Eireli;(67) 99965-5098;(67) 99965-5098;zero67producoes@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Buffet Luzly;Buffet Luzly Eireli;(67) 3421-7811;(67) 99971-1190;buffetluzly@buffetluzly.com.br;https://www.buffetluzly.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Jads E Jadson Produções Artísticas LTDA;Jads E Jadson Produções Artísticas LTDA;(67) 99995-9797;;financeiro@jadsejadson.com.br;http://jadsejadson.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ninho do Entretenimento;Ninho do Entretenimento LTDA;(67) 99995-9797;;ninhoeventos@hotmail.com;https://www.ninhodoentretenimento.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Two.co Solucoes em Eventos;Casarotti Ribeiro Comercio e Eventos Ltda;(67) 99944-2637;;twocoeventos@gmail.com;http://twocoeventos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Lub Music;Lub Music Editora e Produtora Musical Eireli;(67) 99910-0777;(67) 9991-0077;abnermidas@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Texas Hookah;Luiz Felipe Gonzaga Ortiz Bispo Mei;(67) 99889-3439;(67) 99865-7098;noturnos_thiago@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Abcdario Producoes;Bernardo de Jesus Ramos Eireli Me;(67) 3231-7898;(67) 99865-7098;abcdario.prod@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Brothers Licenciadora de Marcas E Serviços Ltda;Brothers Licenciadora de Marcas E Serviços Ltda;(67) 3324-0633;(67) 99905-8807;financeiro@micheltelo.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
