Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Cadoro Eventos;Cadoro Eventos e Comunicacao Ltda;(31) 99981-8993;;cadoro@cadoro.art.br;http://cadoro.art.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Smart Mix;Smart Mix Comunicacao e Marketing Ltda;(31) 99981-2213;(31) 99981-2213;lucio@artbhz.com.br;http://www.smartmixbrasil.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Malab Producoes;Malab Producoes Eireli;(31) 2532-8200;(31) 98623-6071;malab@malab.com.br;https://www.malab.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Navegador;Navegador Musica Produção e Eventos Ltda;(31) 99977-2961;(31) 99977-2961;valtinoco@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Soul Produtora;Soul Produtora de Eventos;(32) 98412-7972;(32) 98412-7972;paulofilho@radiomuriae.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Super Fogos;Artesanato de Fogos Vitória Ltda;(37) 3281-3070;(37) 99927-0508;superfogos@hotmail.com;http://www.superfogos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Box Bold Xperiences;Vila Isabel Bar Musical Ltda -me;(31) 3889-2003;(31) 99881-1002;eduardo@bebox.cc;http://www.bebox.cc;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Noix Music;Noix Entretenimento Ltda;(11) 5052-1003;(11) 97370-1155;rodrigobyca@noixmusic.com.br;http://noixmusic.com.br/site;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fortech;Forsocios Sercvicos de Tecnologia Ltda;(31) 9956-6428;;romulo@for-tech.com;http://www.for-tech.co;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Jb Produções;João Batista Netto Produções e Eventos LTDA;(35) 99820-3984;(35) 99820-3984;jbproducoeseeventos@outlook.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bezz Eventos e Producoes;Claudia Maria Rios Me;(34) 9910-2314;(34) 3662-9122;luciano@bezzeventos.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
da Producoes e Eventos;da Producoes e Eventos;(33) 3734-2742;(33) 99974-4899;danilobelezabeleza@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Arapuca Eventos;Arapuca Promocoes e Eventos Ltda;(35) 99201-7885;(35) 9201-7885;relacionamento@arapucaeventos.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Circuito Super Praia;Csp Esportes e Eventos Ltda – Me;(31) 3324-3415;(31) 99115-6700;welberth@csptour.com.br;http://WWW.CSPTOUR.COM.BR;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Clube do Cowboy;Clube do Cowboy de Uberlandia Ltda;(34) 3230-6900;(34) 99103-7313;alexandre@clubedocowboy.com.br;http://www.clubedocowboy.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
E&b Produtora;E&b Produções e Eventos Ltda.;(38) 99989-4666;(38) 99989-4666;ebprodutora2011@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Abx Estrutura;Abx Estrutura Para Eventos Ltda;(31) 3888-8800;(31) 99778-8250;abxestrutura@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sw Master;Sw Master Eventos E Participações S/A;(31) 99844-2740;;juridico@sleepwalkers.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Csp Tour;Guep Eventos e Turismo Ltda;(31) 3245-9018;(31) 98523-2404;financeiro@uikiparracho.com.br;http://WWW.CSPTOUR.COM.BR;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gigset;Gigset System LTDA;(31) 98530-8102;(31) 98530-8102;gigsetsystem@gmail.com;http://gigset.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Grupo Armind;Armid Festas E Eventos LTDA;(31) 3245-9956;;paula@armind.com.br;http://grupoarmind.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fest Eventos;Fest Eventos Producoes Ltda;(31) 3388-5733;(31) 99636-1665;contato@festeventos.com.br;https://festeventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Super Som Fm;Super Som Uberaba Fm Ltda;(34) 3326-9700;(34) 99972-3900;financeiro@supersomfm.com.br;http://supersomfm.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ci@ Promocoes Shows Estruturas;Borges Andrade Promocao de Festa e Eventos Eireli-me;(38) 3222-6969;(38) 99986-4043;ciapromocoes@yahoo.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Benassi Eventos;Vibes Entretenimento Eireli;(35) 3013-0000;(35) 98859-9097;marielaabreusouza@gmail.com;https://benassieventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sympla;Sympla Internet Solucoes S/A;(31) 3500-4002;(31) 3500-4002;compras@sympla.com.br;https://www.sympla.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Federal Produções;Central Eventos;(35) 99119-2508;;gustavohenriquesantos1991@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Slay;Slay Intermediacao de Servicos de Eventos LTDA;(31) 99631-2757;(31) 99631-2757;darsonventura@hotmail.com;https://slay.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ebpm Consultoria e Investimentos;Ebpm Consultoria e Investimentos Eireli;(34) 3825-7172;(34) 99139-6887;frantchescolyvilella@gmail.com;https://embuscadoprimeiromilhao.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bloco do Urso;Dsc Produções e Eventos Ltda;(35) 99804-0824;(35) 99804-0824;financeiro@blocodourso.com.br;http://www.blocodourso.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Geovanni Hugor Pedrosa Mapa 05580457669;Geovanni Hugor Pedrosa Mapa 05580457669;(31) 3551-2984;(31) 98537-4420;mundialop.eventos@gmail.com;http://www.mundial1.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
A C Digital Business;Ac Serviços e Soluções Digitais Ltda;(34) 99878-7361;;lincoln@acdigitalbusiness.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Abx Estrutura;Abx Estrutura Para Eventos Ltda;(31) 3888-8800;(31) 99778-8250;abxestrutura@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
A C Digital Business;Ac Serviços e Soluções Digitais Ltda;(34) 99878-7361;;lincoln@acdigitalbusiness.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Kadu Eventos;Kadu Eventos & Promocoes Ltda;(35) 9146-2766;(35) 3331-7676;gustavaopa@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Albert Reis Promocoes de Eventos;Albert Reis Promocoes de Eventos Ltda ME;(34) 99144-5047;(34) 99144-5047;albertreis15@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Climax Producoes;Climax Producoes Varginha Ltda;(35) 3214-3076;(35) 99840-3003;financeiro@ipass.com.br;http://climaxproducoes.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mega Space;Mega Space Promoções E Eventos;(31) 2102-4848;(31) 99617-2681;megaspace@megaspace.com.br;https://megaspace.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
do Brasil Live Marketing;do Brasil Live Markenting S.A.;(31) 98835-8753;;junia@dobrasil.live;http://dobrasil.live/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Avoice Formaturas;Avoice Promoções e Eventos Ltda;(37) 3214-4905;(37) 3214-4905;emerson@avoice.com.br;https://avoice.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rg Producoes e Eventos;Rg Producoes e Eventos Ltda;(31) 99123-5367;(31) 99123-5367;guisla1@hotmail.com;https://www.instagram.com/producoesrg/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Benassi Eventos;Vibes Entretenimento Eireli;(35) 3013-0000;(35) 98859-9097;marielaabreusouza@gmail.com;https://benassieventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Aloha Plasticos;Aloha Pasticos Ltda;(37) 3016-6090;(37) 99938-9887;aloha@alohaplasticos.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sw Master;Sw Master Eventos E Participações S/A;(31) 99844-2740;;juridico@sleepwalkers.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fest Eventos;Fest Eventos Producoes Ltda;(31) 3388-5733;(31) 99636-1665;contato@festeventos.com.br;https://festeventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Noix Music;Noix Entretenimento Ltda;(11) 5052-1003;(11) 97370-1155;rodrigobyca@noixmusic.com.br;http://noixmusic.com.br/site;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Trem Bala Promoções;Trem Bala Promoçoes E Producoes LTDA;(34) 3214-1313;(34) 99911-9266;trembalapromocoes@gmail.com;http://www.trembalapromcoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Italo Carvalho Pereira;Italo Carvalho Pereira;(31) 99845-0973;(31) 99845-0973;italoorla@hotmail.com;https://instagram.com/agenciaculturalfca?utm_medium=copy_link;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Abrape;Associacao Brasileira dos Promotores de Eventos Abrape;(31) 99395-0955;(31) 99395-0955;executivo@abrape.com.br;http://www.abrape.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
M&f Locacoes e Eventos;M&f Eventos Ltda;(37) 3216-1830;(37) 98811-5600;guilherme@mfeventos.com;http://www.mflocacoes.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sleepwalkers;Sleepwalkers Entretenimento LTDA;(31) 99542-1641;;elisangela@sleepwalkers.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Grupo Armind;Armid Festas E Eventos LTDA;(31) 3245-9956;;paula@armind.com.br;http://grupoarmind.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Soul Produtora;Soul Produtora de Eventos;(32) 98412-7972;(32) 98412-7972;paulofilho@radiomuriae.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Malab Producoes;Malab Producoes Eireli;(31) 2532-8200;(31) 98623-6071;malab@malab.com.br;https://www.malab.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Jc Decor;Jc Decor Plasticos E Tecidos Eireli;(31) 99593-3187;;thiago@jcdecor.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Guto Eventos;H Studio Promoções e Eventos Eireli Me;(35) 99765-9725;(35) 99765-9725;gutoeventosoficial@gmail.com;http://www.facebook/gutoeventosoficial;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Super Fogos;Artesanato de Fogos Vitória Ltda;(37) 3281-3070;(37) 99927-0508;superfogos@hotmail.com;http://www.superfogos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Central dos Eventos;Mg Mediação de Pagamentos Ltda;(31) 4141-2929;(31) 98684-1382;julioramos@s4entretenimento.com.br;https://www.centraldoseventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Efesta!eshow!;Junior Produções LTDA;(32) 98424-1401;(32) 98424-1401;produzindosuafesta@gmail.com;http://www.juniorproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
035 Producoes;035 Producoes de Eventos Ltda;(35) 4104-1012;(35) 99113-9521;035producoes@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Casemiro;Casemiro Décor;(31) 3362-8762;(31) 99804-6488;simone@casemirodecor.com.br;http://Www.casemirodecor.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sindiemg;Sindicato Das Industrias Explosivos Estado Minas Gerais;(37) 3281-2327;(37) 99984-7170;contato@sindiemg.com.br;https://www.sindiemg.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Jb Produções;João Batista Netto Produções e Eventos LTDA;(35) 99820-3984;(35) 99820-3984;jbproducoeseeventos@outlook.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Company Events Service;Company Events Service LTDA;(31) 3335-7530;;fmachado@companyeventsmg.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Minascentro;Consorcio Gestor Minascentro Chevals Perfil;(31) 3658-9140;(31) 98484-3950;araujo-priscilla@hotmail.com;https://www.minascentro.net;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mill Estruturas;Mill Estruturas Para Eventos Ltda;(31) 3825-7676;(31) 98525-2830;millestruturas@yahoo.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Abrape;Associacao Brasileira dos Promotores de Eventos Abrape;(31) 99395-0955;(31) 99395-0955;executivo@abrape.com.br;http://www.abrape.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
G.o.g Eventos;G.o.g Produções, Eventos, Bar e Restaurante Ltda;(35) 99149-0419;(35) 99149-0419;guilhermeoliveiragomes@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
