Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Roma Eventos;Bgg Producoes de Eventos Ltda;(91) 3199-9205;(91) 98166-1000;alexisdocarmo@romagrupo.com.br;https://romaticket.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Link Produtora;Rosalina de Sousa Melo;(91) 98142-9407;(91) 3222-2158;rosalinamelo@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bj Producoes;Bj Producoes de Festas Eirelli;(91) 99337-3737;(91) 99337-3737;benjaminjunior_@gmail.com;https://www.eventbrite.com.br/e/sofisticatto-halloween-edition-tickets-124554749609;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sonique Producoes;Sonique Producoes de Eventos Ltda ME;(91) 3223-2657;(91) 98112-0500;producaosonique@gmail.com;https://www.facebook.com/soniqueprod;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Business Eventos E Serviços;Moreira Godoy Comercio Serviço LTDA;(91) 3276-7194;(91) 98416-8174;contato@businessbel.com;http://www.businessbel.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Jeffersom Eventos;Jeffersom Estruturas Para Eventos;(91) 3224-7641;(91) 99988-8033;jeffersom@jeffersom.com;https://jeffersom.com.br/dakza/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bis Entretenimento;Bis Promoções Ltda;(91) 98228-3003;;marcosvaz@bisentretenimento.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Conecta.com;Yuri Breogan Moreira Rodrigues;(91) 98114-0208;(91) 98114-0208;conectapauta@gmail.com;https://pautaeventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Amazon Producoes;J D Producoes e Eventos ltda;(91) 98138-3121;(91) 98138-3121;marinhoproducoes15@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Cn Produções;Ac Nogueira Producoes Eireli;(91) 3222-8898;(91) 99918-1990;guto@cnproducoes.com;http://www.cnproducoes.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Restaurante Izumo;Izumo Aiimentos Ltda Epp;(91) 3231-1193;(91) 99146-9146;dmmimori@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
