Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Kello - Agencia de Formaturas;Psk Formatura Eireli ME;(44) 3112-2330;(44) 98828-0150;luciano@kello.com.br;http://www.kello.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Opera Cafe;Café Opera Arte Eireli;(41) 9999-2091;(41) 99751-2576;gerencia@operaarte.com.br;https://www.operaarte.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Copo Ecolabel;Eco Label Ltda;(44) 99921-7570;(44) 99121-6323;alexia@copoecolabel.com.br;https://copoecolabel.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Top3 Produções E Eventos;Top3 Gestão de Negócios LTDA;(43) 99120-5500;(43) 99120-5500;contato@top3producoeseeventos.com.br;http://WWW.TOP3PRODUCOESEEVENTOS.COM.BR;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Hk Live;Holi Kids Entretenimento Ltda;(43) 99648-5722;;mf@hklive.fun;https://hklive.fun;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rubens de Oliveira Empreendimentos Artisticos;Rubens de Oliveira Empreendimentos Artisticos;(43) 3423-1514;(41) 98801-6120;contato@rubensdeoliveira.com.br;http://www.rubensdeoliveira.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ilse Eventos;Ilse Eventos Ltda;(45) 3526-4242;(45) 3526-4242;monica@ilseeventos.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Warung Day Festival;Warung Day Festival Ltda;(41) 3233-1315;(41) 3233-1315;francianecsantana@gmail.com;http://warungfestival.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Lf Producoes Artisticas;Luan Vinicius Ferreira 04506062957;(44) 3810-9843;(44) 9910-3881;luan.1602@hotmail.com;https://lfprodu.wixsite.com/lfproducoes;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Coolritiba Art Producoes LTDA;Coolritiba Art Producoes LTDA;(41) 32245-1784;32251784;gian@entreseven.com.br;https://coolritiba.art.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Unica Promocionais & Entretenimento;Unica Pro Promocionais Ltda;(44) 3029-4050;(44) 3029-4050;rogerio@unicapro.com.br;http://www.unicapro.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Prime Promocoes e Eventos;Promocom Eventos e Publicidade;(41) 9701-9700;(41) 3018-4640;prime.mac2@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
M&m Eventos;M&m Eventos Ltda;(43) 3342-6287;(43) 99650-1966;jpaulocandotimm@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Hype Entretenimento;Hype Entretenimento Eireli Me;(44) 3030-0899;(44) 3030-0899;andreferraribra@gmail.com;https://www.hype.art.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Araca Eventos;Cristiane Cabral Franca Me;(41) 99103-3880;(41) 99833-7332;aracaeventos@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Euphoria Eventos;Nt Eventos;(44) 3024-9092;(44) 99177-1109;joao.mazzer@grupoeuphoria.com.br;https://euphoriaeventos.net/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Map Eventos;Produções e Eventos Medianeira Ltda;(45) 99975-0115;(45) 99975-0115;mapeventosmedianeira@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Cross Formaturas;Borges e Seleme Rocha Ltda;(42) 98428-9811;(42) 3630-0790;rodrigo@crossformaturas.com.br;https://crossformaturas.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
M&l Producoes Artisticas;M&l Producoes Artisticas Ltda;(41) 3596-7070;(41) 3596-7073;contato@melproducoes.com.br;https://www.grupomelproducoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Parnaxx Ltda;Parnaxx Ltda;(41) 3078-2414;(41) 99677-9966;financeiro@parnaxx.com.br;https://parnaxx.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ciro Netto & Manuel;Cn&m Producoes Ltda;(44) 99734-5969;(44) 99734-5969;adm@cironettoemanuel.com.br;http://cironettoemanuel.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Emporio Santa Maria;Emporio Santa Maria Entretenimento;(45) 9914-9132;(45) 99914-9132;adezorzo@gmail.com;https://www.emporiosantamariashow.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Circo Maximus;Maximus Producoes Artistica Me;(44) 99972-8687;(44) 99972-8687;circomaximus@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gmc Eventos;Gmcom Eventos e Projetos Especiais Ltda;(44) 3220-4001;(44) 99144-9529;janylima@gmcom.com.br;https://www.facebook.com/gmceventosoficial/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Upgrade Audiovisual;Upgrade Audiovisual Ltda;(41) 3029-0003;(41) 98808-2802;administrativo2@upgradeavsp.com.br;http://www.upgradeav.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Central Producoes;Central Paranaense de Comunicacao Ltda.;(11) 5507-5923;(11) 94952-2414;contato@centralproducoes.com.br;http://www.centralproducoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Circo Fantastico;Mario Ferreira Cascao Circo ME;(44) 99911-2772;(44) 99911-2772;circojunior@hotmail.com;http://www.circofantastico.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Pdv365;Pdv365 Produção e Automação de Eventos Ltda;(45) 3037-3357;(45) 99145-3379;thiago@pdv365.com.br;https://pdv365.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Paulo Roberto Eventos;Paulo Roberto Eventos Eireli Me;(45) 3231-1635;(45) 99972-6665;pauloreventos@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Vs Uni Promocionais;B2s Comercio;(44) 99968-3452;(44) 99968-3452;vsunipromocionais@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Parties Eventos;Parties Eventos LTDA;(41) 3016-1716;;joao@cwbbrasil.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Park Dance;Park Dance Ltda;(42) 3132-0201;(42) 9105-3140;parkdance@parkdance.com.br;https://www.parkdance.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Emporio Santa Maria;Emporio Santa Maria Entretenimento;(45) 9914-9132;(45) 99914-9132;adezorzo@gmail.com;https://www.emporiosantamariashow.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
