Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Festa Cheia Producoes;Festa Cheia Producoes e Propagandas Ltda;(81) 3441-9660;(81) 99661-0826;festacheia@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Reality;Nalini Assessoria e Eventos Ltda;(00) 00000-0000;(00) 00000-0000;juliana@agenciareality.com;http://www.agenciareality.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Expresso Turismo;Expresso Turismo Ltda Me;(81) 99265-3479;(81) 98855-6315;financeiro@expressotur.com.br;http://www.expressoturismo.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Estelita;Antonio M F Campos;(81) 99151-3593;(81) 99970-5164;financeiro.cosmica@gmail.com;http://www.grupoestelita.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Raio Lazer;Fpp Producoes Artisticas E Culturais;(81) 99960-6683;;maguilape@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Branco Promocoes e Eventos;Branco Promocoes de Eventos e Editora Musical Ltda;(81) 3038-6820;(81) 3038-6820;andrelbpbranco@gmail.com;http://www.brancopromocoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Estandarte Eventos;Cmc Empreendimentos e Servicos Culturais;(81) 3034-1397;(81) 99178-3634;fernandosfilho@yahoo.com.br;http://www.estandarteeventos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Prime Promoções E Eventos;Prime Promoções E Eventos Eireli;(81) 99813-7574;(81) 99813-7574;caiobragaa@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Certec Eventos;Certec Estruturas Metalicas LTDA;(81) 3722-0325;(81) 3722-0325;certeceventos@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Galo da Madrugada;Clube Das Máscaras O Galo da Madrugada;(81) 3224-2899;(81) 3224-2899;rgmeneses@ogalodamadrugada.com.br;http://www.galodamadrugada.org.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Luan Promoções e Eventos;Luan Promoções e Eventos Ltda;(81) 2138-7900;(81) 9962-5048;rogerio@luanpromocoes.com.br;http://www.luanpromocoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Agittos Promocoes;Agittos Promocoes e Eventos Ltda;(81) 99957-2792;(81) 99741-4210;agittospromocoes1@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Eni Agency Career;Eni Agency Career Eireli;(81) 99983-9000;(81) 99983-9000;thaty.madlou@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fonttes Promocoes e Eventos;Mota Promocoes e Eventos Eireli;(81) 3328-7365;(81) 3328-7365;paularosafonttes@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Alx Entretenimentos;C S Asfora Sobrinho Epp;(81) 3204-4665;(81) 99976-2707;atendimento@alxentretenimento.com.br;http://www.Alxentretenimento.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bg - Rego;Bg Promomocoes e Eventos Ltda;(81) 3129-8468;(81) 3129-8468;manucagf@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Nobrega Promo-light;Nobrega Promocoes e Iluminacao Eireli;(81) 3132-7744;(81) 99949-8484;carlinhosnobrega@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Pernambuco Centro de Convencoes;Consorcio Cid de Convencoes de Permanbuco Spe S/A;(81) 4042-8400;;controladoria@ceconpe.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Sena Solucoes Estruturais Eventos;Rejane Quiteria da Silva Eireli;(81) 99635-8225;(81) 99635-8225;comercial@senasolucoes.com.br;https://www.senasolucoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Hdf Promo;Hdf Produções e Eventos Ltda Me;(81) 3132-1102;(81) 9894-2592;joao.hdfproducoes@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Carvalheira;Decana Organizacoes de Eventos Ltda;(81) 3081-8130;(81) 99972-2969;geraldo@carvalheira.com.br;https://www.carvalheira.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Nosso Entretenimento;Gyovanni Desiderati D Sena Entretenimento;(81) 99848-4688;(81) 9984-4688;nossoentretenimentorec@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Dalalut Music Shows e Eventos;Dalalut Music e Eventos Ltda;(81) 99421-2745;(81) 99421-2745;andre@dalalutmusic.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Kato Estrutura;Sg Locacao e Producao de Eventos Ltda;(81) 3073-5306;(81) 3073-5306;sglocacoes@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Art Rec Producoes;Art Rec Producoes Culturais e Publicidade Eireli;(81) 3033-0128;(81) 98130-9131;gustavoagra1@uol.com.br;http://www.artrecproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ws Shows - Wesley Safadao;Ws Shows Ltda;(81) 2129-0891;(81) 2129-0891;financeirows.shows@gmail.com;https://www.wesleysafadao.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Maria Gilvania Pereira Clemente;Maria Gilvania Pereira Clemente;(81) 99911-1909;(81) 99836-6400;mgilproducoes@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Alto Impacto Comunicacao Visual;Alto Impacto Entretenimento ltda;(81) 98188-8892;(81) 98188-8892;lulaprodutor@me.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
All Ticket;W B de Oliveira Me;(81) 3327-8011;(81) 99969-4060;waldner@allticket.com.br;http://www.allticket.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mna - Moraes Neves Andrade Advocacia | Soluções Jurídicas;Moraes e Neves Advogados;(81) 99926-1000;(81) 99926-1000;danielmoraes@mnaadvocacia.adv.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Supernova;Supernova Producoes e Eventos Ltda;(81) 3426-5256;(81) 3426-5256;superafinanceiro@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ingresso Prime;Quiosque Prime Ingressos LTDA – EPP;(81) 99199-4414;;contato@ingressoprime.com;http://www.ingressoprime.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ws Shows - Wesley Safadao;Ws Shows Ltda;(81) 2129-0891;(81) 2129-0891;financeirows.shows@gmail.com;https://www.wesleysafadao.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Reality;Nalini Assessoria e Eventos Ltda;(00) 00000-0000;(00) 00000-0000;juliana@agenciareality.com;http://www.agenciareality.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Luan Promoções e Eventos;Luan Promoções e Eventos Ltda;(81) 2138-7900;(81) 9962-5048;rogerio@luanpromocoes.com.br;http://www.luanpromocoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Agittos Promocoes;Agittos Promocoes e Eventos Ltda;(81) 99957-2792;(81) 99741-4210;agittospromocoes1@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
