Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Exemplo Eventos;Exemplo Eventos Corporativos LTDA;(21) 98131-0282;(21) 98131-0282;contato@exemploeventos.com.br;https://www.exemplo.ag/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Upgrade Bares E Produções;Upgrade Bares Interativos LTDA;(21) 98368-0760;(21) 98368-0760;helioalves@dhpproducoes.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Effect Sport;Effect Esporte E Entretenimento LTDA;(21) 99999-4653;;contato@effectsport.com.br;https://effectsport.com.br/site/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
School Of Rock;Era Empreendimentos Musicais ltda;(21) 99177-3252;(21) 99177-3252;acarvalho@schoolofrock.com;http://www.schoolofrock.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rock In Rio;Rock World S.A.;(21) 3030-8816;(21) 99134-1727;julianaschneider@rockinrio.com;https://rockinrio.com/rio/pt-br/home/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Dtalhe Expertise em Eventos;Dtalhe Producoes Artisticas E Culturais LTDA;(21) 98815-3015;(21) 98815-3015;daniela@dtalhe.com.br;http://www.dtalhe.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Babilônia Feira Hype;Hype Art Produções Culturais ltda;(21) 99972-1247;;financeiromonica2020@gmail.com;http://www.babiloniafeirahype.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rio2 Formaturas;R2 Formaturas, Eventos e Buffet Ltda;(21) 3881-4471;(21) 99964-6004;contato@rio2eventos.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Normalpragente;Caec Criatividade,entretenimentos e Eventos Eireli;(21) 98269-6425;(21) 98269-6425;carlinhos@normalpragente.com.br;http://www.normalpragente.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Dream Factory;Dream Factory Comunicacao E Eventos S.A.;(21) 98127-0036;;claudio.romano@dreamfactory.com.br;http://dreamfactory.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Som Livre;Sony Music Entertainment Brasil LTDA;(21) 2323-3333;;rebeca.guio@somlivre.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
All Dubbing Group;All Dubbing Producoes Artisticas LTDA;(21) 99965-4157;;ana@alldub.com.br;http://www.alldub.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Vnew Brasil;Gt Producoes e Eventos Ltda;(21) 3253-5621;(21) 9714-1230;ferraro@vnewbrasil.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Irmarfer Brasil Estruturas;Irmarfer Brasil Estruturas Ltda;(21) 98133-8632;(21) 98133-8632;lessauro@gmail.com;http://www.irmarfer.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Del Negro Eventos;Adriana Del Negro Eventos LTDA;(21) 98111-8802;(21) 98111-8802;adrianasamuel@uol.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Trilha Entretenimento;Trilha Producoes E Assessoria Artística LTDA;(51) 98206-8269;(51) 9820-6826;falecom@trilha.art;http://www.trilhaentretenimento.art;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Top Cat;Top Cat Produção e Promoção de Eventos Esportivos Artísticos e Culturais Ltda;(21) 3150-2622;(21) 3150-2622;stevealtit@topcat.com.br;https://www.topcat.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Agência Adviser;Adviser Eventos Limitada;(21) 99948-3222;;agenciaadviser@agenciaadviser.com.br;https://www.agenciaadviser.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ccn Produções & Eventos;Ccn Administracao Promocoes E Eventos LTDA;(21) 97403-9129;(21) 97415-4986;fernando.horta@ccnbrasil.com.br;https://www.expomag.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Telecall;Telexperts Telecomunicacoes S.A;(21) 99966-9385;(21) 99966-9385;bajuz@telecall.com;https://telecall.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
X3m Brasil;X3m Entretenimento s.a;(21) 99602-9828;(21) 99602-9828;bernardo@x3mbrasil.com;https://www.x3mbrasil.com/home/#sobre;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
K2l;Kds 360 Empresariamento Artístico Ltda;(21) 99938-6868;(21) 3500-5709;administrativo@k2l.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Qualistage;Cosmopolitan Entretenimento E Participações S.A;(21) 3030-1923;(21) 99728-8202;alexandre.carvalho@qualistage.com.br;http://www.qualistage.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ras;Ras Producoes Artisticas LTDA;(21) 2524-3317;(21) 97990-2761;financas@semquererproducoes.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Transfer Rio;Transfer Rio Turismo E Locacao LTDA;(21) 98752-7600;(21) 98752-7600;transferrio@transferrio.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Joa Gastronomia;Joa Buffet E Gastronomia LTDA;(21) 98182-6955;(21) 98182-6955;aguinaldo@joaeventos.com.br;https://joagastronomia.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Open Brasil Eventos;Open Brasil Promocao e Eventos Ltda;(21) 2561-3893;(21) 99961-9045;fatima@openbrasileventos.com.br;http://www.openbrasileventos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Volume Produções e Eventos;Volume Participações Produções e Eventos Ltda.;(21) 98269-6425;(21) 99920-9761;volumesocios@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Música & Mídia Produções;Musica & Midia Promocoes E Eventos Artisticos LTDA;(21) 98810-8603;(21) 98135-4000;anita@musicaemidia.com.br;http://www.musicaemidia.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gh Music;Gh Music Producao Musical Ltda;(21) 3400-7651;(21) 99285-6865;andriwsmoraes@hotmail.com;http://www.ghmusic.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ticket Gospel;Ticket Gospel Ltda;(21) 98048-0278;;adm@ticketgospel.com.br;https://ticketgospel.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Central de Festas;Central de Festas Gastronomia Criativa Ltda;(21) 3822-0383;(21) 99222-5704;ricardomello@centraldefestas.com;http://rmellogcriativa.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Delambert Advogados;Delambert Advogados;(21) 98974-7227;(21) 99604-4991;marcio@delambert.adv.br;https://www.delambert.adv.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Normalpragente;Caec Criatividade,entretenimentos e Eventos Eireli;(21) 98269-6425;(21) 98269-6425;carlinhos@normalpragente.com.br;http://www.normalpragente.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Open Brasil Eventos;Open Brasil Promocao e Eventos Ltda;(21) 2561-3893;(21) 99961-9045;fatima@openbrasileventos.com.br;http://www.openbrasileventos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Criacao;Criacao Eventos Servicos E Locacao LTDA;(21) 96455-3765;;criacaolocacoeseservicos@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rio2 Formaturas;Rio2 Eventos e Formaturas Ltda;(21) 3881-4471;(21) 99964-6004;igor.lordello@rio2eventos.com.br;https://www.rio2formaturas.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Radio Jb Fm;Rádio Monte da Gávea LTDA;(21) 97196-6887;;claudia.silva@radiojb.fm;https://jb.fm/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Lpo Merchandising E Eventos;Lpo – Lojas de Produtos Oficiais LTDA;(21) 98196-3930;;joao.mourinha@produtosoficiais.com;https://www.produtosoficiais.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
