Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Produtora Furacão;Cassol E Goncalves Produtora de Eventos LTDA;(53) 98466-7811;;produtorafuracao@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Branco Producoes;Carlos Branco & Cia Ltda;(51) 3231-4142;(51) 98119-1221;branco@brancoproducoes.com.br;http://www.brancoproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Escritorio de Producao - Marilourdes Franarin;Marilourdes Ferreira Franarin;(51) 99971-6021;(55) 51999-7160;marifran1704@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gaby Produtora;Gaby Producoes Ltda;(51) 3594-6222;(51) 3594-6222;beto.ody@radioalegria.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Artistaria Produtora de Humor;Artistaria Agencia Produtora Eireli ME;(51) 3109-1959;(51) 98913-6772;thais@artistaria.com.br;http://www.artistaria.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
W Entretenimento;João Antônio Barbosa;(54) 99629-1305;(54) 99629-1305;contato@wentretenimento.com.br;http://www.wentretenimento.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ifx Music;Ifx Holding;(51) 99577-5508;(51) 99425-9774;falecom@ranchodapaz.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Capacita Eventos;Capacita Eventos LTDA;(51) 98603-8648;(51) 3061-3000;capacita@capacita.com.br;http://www.capacita.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ruthers Producoes;Ruthers Promocao de Eventos Culturais ltda;(51) 98181-5555;(51) 98181-5555;edgar@ruthers.com.br;http://ruthers.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Maori Beach Club;Bha Promocoes Eventos;(51) 99989-3280;(51) 99976-5284;cezar@maoribeachclub.com.br;http://maoribeachclub.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Delta Som Luz Producoes e Sonorizacoes;Adamir Vivian Me;(54) 3242-5330;(54) 99972-2519;financeiro@somdelta.com.br;http://www.deltasom.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Complexo Divino;Luther Eduardo Bissacot Alves;(55) 3513-2121;(55) 99603-5656;lawrencevendas@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Grupo Matiz;Matiz Produtora de Festas e Eventos;(51) 98038-6906;(51) 98038-6906;felipe@grupomatiz.net.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ultreya;Ultreya Produções Artísticas Ltda;(51) 98181-5000;;noemia_eri@yahoo.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Grupo Austral;Austral Marketing e Eventos Ltda;(51) 99798-4588;(51) 99798-4588;gabriel.malabarba@grupoaustral.com.br;https://www.grupoaustral.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Opus Entretenimento;Opus Assessoria e Promocoes Artísticas Ltda;(51) 3235-4551;(51) 3235-4551;eliza.pierim@opusentretenimento.com;http://www.opusentretenimento.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bell Anima;Bell Anima Producoes Artisticas Ltda;(55) 99939-2396;(55) 99939-2396;gabriela.bortolotto@meta.com.br;http://bellanima.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
