Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Consoli Eventos;Consoli Eventos LTDA;(47) 3520-1650;;sac@consolieventos.com.br;http://www.consolieventos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Yuzer Tecnologia;Yuzer Tecnologia da Informação S.A.;(48) 4042-9938;;financeiro@yuzer.com.br;https://yuzer.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
P12 Jurerê Internacional;Novo Brasil Entretenimento Ltda;(48) 3284-8156;;samuellinhares@novobrasil.art.br;http://parador12.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Blueticket;Bt Mediacoes de Pagamentos Ltda;(48) 3717-5406;(48) 3717-5406;administrativo@blueticket.com.br;http://www.blueticket.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Dcx Marketing E Negocios;Dcx Eventos Eireli;(47) 99614-6266;;dcx@dcxeventos.com.br;https://dcxeventos.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Grupo Onda;Cdj Sul Eventos Ltda;(48) 3225-4800;(48) 3225-4800;financeirosul@somosonda.com.br;https://somosonda.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Camerata Florianopolis;Associacao Filarmonica Camerata Florianópolis;(48) 3233-2324;(48) 99115-1087;camerataflorianopolis@gmail.com;https://www.camerataflorianopolis.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fullpress;Centrosigns Comunicacao Visual Ltda;(48) 3371-2234;(48) 98447-9333;jeison@fullpress.com.br;http://fullpress.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
B Show Producoes;Cleuson Armindo Pritsch;(49) 3304-3988;(49) 99805-5800;contato@bshowproducoes.com.br;http://www.bshowproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Mailing Lagoa;Mailing Lagoa LTDA;(48) 99955-5313;(48) 99955-5313;jabson@mailinglagoa.com.br;http://Mailinglagoa.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
