Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
Faro Eventos;Faro Eventos Ltda Epp;(19) 99875-6565;(19) 99875-6565;victor@faroeventos.art.br;http://faroeventos.art.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Viva Entretenimento;Gui Moron Eventos Ltda;(15) 3357-9609;(15) 99111-5252;guimoron@vivaentretenimento.com;https://www.anzugroup.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ibem / Bozzine Produções;Ibem Produções e Eventos LTDA;(14) 3243-1494;(14) 99776-1179;ibemproducoes@hotmail.com;http://www.ibemproducoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Box Talents;G.b.l. Participacoes Eireli;(61) 99629-1309;(61) 99629-1309;gabrielupclub@gmail.com;http://www.boxtalents.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fishfire Comunicação e Eventos LTDA;Fishfire Comunicação e Eventos LTDA;(81) 99839-7873;;eduardo.franca@umauma.com.br;http://www.umauma.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Norte Marketing Esportivo;Norte Marketing E Editorial LTDA;(11) 99350-6504;;felipe@nortemkt.com;https://www.nortemkt.com/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Oceania;Oceania Divulgação Interativa Ltda Me;(19) 99675-0707;(19) 99675-0707;francino@oceania.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bruno Motta Bm Eventos;Bruno Motta Eventos e Entretenimento Ao Vivo LTDA;(11) 94762-3077;;bruno@brunomottas.com;http://www.brunomottaeventos.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Diverti Tickets;Diverti Tickets Comercializacoo de Ingressos Ltda;(11) 3031-6156;(11) 9609-8635;juridico@divertieventos.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Dpen;Dpen Tecnologia LTDA;(11) 91897-4370;;amanda@dpen.com.br;https://www.dpen.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Netpdv;Netpdv Solucoes Tecnologicas Sa;(11) 5102-2505;(17) 99736-5588;bruno@netpdv.com.br;http://netpdv.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
D Edge;Rpg & Bar Dancante Ltda;(11) 3665-9500;(11) 3665-9500;alberto@d-edge.com.br;http://www.d-edge.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Caprimar Pisos;Caprimar Locação de Pisos Eireli;(11) 3465-9800;(11) 9969-5538;priscila@caprimar.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Olik;Olik Servicos E Tecnologia LTDA;(11) 3814-4404;(11) 99608-7808;marcio@olik.com.br;https://olik.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gp Producoes e Eventos;Gp Producoes e Eventos Eirelli;(19) 3244-1254;(19) 97407-8633;chico@gpproducoes.com.br;http://www.gpproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Circuito Geradores;Circuito Locação de Grupos Geradores Ltda;(11) 3751-1184;(11) 94172-1974;atendimento@circuitogeradores.com.br;http://www.circuitogeradores.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Os Independentes;Os Independentes;(17) 3321-0000;(17) 98192-0112;jeronimo@independentes.com.br;https://www.independentes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Entourage Conteudo Artistico E Management;Entourage Producoes E Eventos LTDA;(11) 3094-1333;(11) 3094-1333;madu@entourage.com.br;http://www.entourage.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Be On Entertainment;E P Nappo Eventos Eireli;(11) 99932-1106;(11) 99932-1106;edupoppo@beon.art.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Olê Olá;Olê Olá Promoções, Eventos e Edições Musicais LTDA EPP;(11) 98111-6958;;diogoleite@oleolaproducoes.com.br;http://www.oleolaproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Entretrês;Entretrês Promoções e Eventos Ltda;(11) 98782-7776;(11) 9878-2777;pietrotoscano@me.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Maxi - Audio Luz Imagem;Maxi Audio Locacao de Equipamentos Ltda;(11) 2221-4848;(11) 93938-3018;jaugusto@maxionline.com.br;http://www.maxionline.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fino Tom Producoes E Eventos LTDA;Fino Tom Producoes E Eventos LTDA;(11) 2548-0781;;caiopavel@finotom.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
The Led;Rda Importacao Exportacao e Servicos Ltda;(11) 2604-9090;(11) 96334-5500;elaine.lucchesi@theled.com.br;https://www.theled.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gsh Live;Gourmet Sports Hospitality Serviços de Alimentação LTDA;(11) 4800-6782;(11) 4800-6782;mark@gshlive.com.br;https://pt.linkedin.com/company/gourmet-sports-hospitality;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Crp;Diana Cristina Pereira – Me;(18) 3324-7518;(18) 99736-2902;diannacpereira@hotmail.com;http://www.circuitoranchoprimavera.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
B Concerts;B Concerts Entretenimento Ltda;(16) 9961-9201;;bruno@bconcerts.com.br;https://bconcerts.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bachega Eventos;Bachega e Maziteli ltda me;(17) 9818-6603;(17) 98186-6033;bachega@bachega.net;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fm Direções;Fm Direções;(11) 93936-2563;(11) 99905-5180;contato@fefamoreira.com.br;http://www.feirafea.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Laroc Club;Laroc Club Ltda Epp;(19) 4141-3788;(11) 98375-8216;silvio@laroc.club;http://www.laroc.club;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gama A/v;Gama Produções Eireli;(11) 97241-5573;(11) 97669-3855;alek@gama-av.com.br;http://www.gama-av.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Unlimited Sports;Unlimited Sports Eventos S.A.;(11) 3743-2411;(11) 98282-2366;marcio@unlimitedsports.com.br;http://unlimitedsports.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Promoacao;Nova Geracao Eventos LTDA;(11) 97608-0397;(11) 3624-9007;bruno@promoacaoeventos.com.br;https://lojapromoacao.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
B Concerts;B Concerts Entretenimento Ltda;(16) 9961-9201;;bruno@bconcerts.com.br;https://bconcerts.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Promoacao;Lion Corp Eventos LTDA;(11) 3624-9007;(11) 97608-0397;bruno@promoacaoeventos.com.br;http://lojapromoacao.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Exclusive Space Promocao e Eventos;Exclusive Space Promocao e Eventos Ltda;(16) 98123-8825;(16) 98123-8825;contato@exclusivespace.com.br;http://www.exclusivespace.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Agencia de Musica Independente;R R Agencia de Musica Ltda;(11) 94985-0902;(11) 9498-5090;financeiro@agenciademusica.com.br;https://agenciademusica.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ibem / Bozzine Produções;Ibem Produções e Eventos LTDA;(14) 3243-1494;(14) 99776-1179;ibemproducoes@hotmail.com;http://www.ibemproducoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Almeida Eventos;Almeida Eventos Ltda Me;(15) 99168-1247;(15) 99703-7111;almeida-eventos@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Gothr;Gothr Management Solutions Ltda;(16) 99241-8002;(16) 99241-8002;herbert.tropiano@gothr.com.br;https://gothr.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bourbon Street Music Club;Emotion Producoes Eventos Culturais Bar e Restaurante Ltda;(11) 5095-6100;(11) 5095-6117;contabilidade@bourbonstreet.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Toy Producoes de Eventos Ltda;Toy Producoes de Eventos Ltda;(11) 95421-3705;(11) 95421-3705;mario.jr@agenciataj.com;https://www.instagram.com/grupotoy/?hl=pt-br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Zanovelo Eventos;Zanovelo Eventos e Estruturas Ltda;(17) 99771-7100;(17) 99785-8869;eventoszanovelo@gmail.com;http://zanoveloeventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Rafael Ganeo Kinock Eventos LTDA;Rafael Ganeo Kinock Eventos LTDA;(16) 99103-4294;(16) 99103-4294;shows@mceroficial.com.br;http://www.mceroficial.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Insperiencia;Insperiencia Treinamentos Ltda.;(11) 5083-9970;(11) 98100-7585;financeiro@insperiencia.com.br;https://insperiencia.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Booking Music LTDA;Booking Music LTDA;(11) 97175-4599;;contato@bookingmusic.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Hit Producoes e Eventos;Agência Hit Producoes e Eventos Ltda.;(11) 2695-9918;(11) 2695-9918;adm@agenciahit.com.br;http://agenciahit.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Fe - Facchini Eventos;Queops Locações Serviços & Turismo Eireli;(16) 3361-2919;(16) 99713-5010;marcus@imagemesom.com;https://www.f2e.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
