Nome;Slogan;Telefone 1;Telefone 2;E-mail;Site;Facebook;Instagram
The Stones Pub;Arr Eventos e Empreendimentos Ltda Me;(79) 99898-8366;(79) 99898-8366;stonesaju@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Wb Entretenimento;Wb Entretenimento Produções Artisticas LTDA;(79) 9112-5000;(79) 9112-5000;wbentretenimentoeeventos@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Casa de Show;Casa de Show Producoes e Eventos Ltda;(79) 98818-5224;(79) 98818-5224;gustavo@casadeshow.com.br;http://www.odontofantasy.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Speed Producoes e Eventos;Speed Producoes e Eventos Eireli;(79) 99143-0442;(79) 99143-0442;contatospeedmkt@gmail.com;https://speedproducoeseeventos.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Frangil Producoes Artisticas Ltda;Artshow Producoes Artisticas Ltda;(79) 99972-4665;(79) 98861-4665;frangilshows@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Estudio Gambiarra;Estudio Gambiarra Ltda;(79) 99146-6806;(79) 9914-6806;beleribeiro@hotmail.com;https://feirinhadagambiarra.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Luz e Led Producoes;Luz e Led Producoes Ltda Me;(79) 3303-1029;(79) 99999-1029;comercial@luzeled.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Ajufest;W.a Comunicacao e Empreendimentos Ltda – Me;(79) 99971-1500;(79) 99971-1500;wadson@aracajufest.com.br;http://www.ajufest.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Realize Formaturas;Realize – Organização, Produção e Promoção de Eventos Ltda Me;(79) 3044-8483;(79) 99880-4664;contato@realize-se.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Teo Santana Producoes e Eventos;"Teo Santana Producoes & Amp; Eventos Eireli";(79) 3231-4066;(79) 99961-4579;financeiro.teosantana@gmail.com;http://www.teosantana.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Intera Criativa;Alisson Couto Oliveira;(79) 9840-5838;(79) 99840-5838;interacriativa@gmail.com;https://interacriativa.com;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Villela Producoes;Villela Producoes e Empreendimentos Artisticos Eireli;(79) 3085-4696;(79) 99992-3107;andre@villelaproducoes.com.br;http://www.villelaproducoes.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bora Bora Producoes e Eventos;Bora Bora Producoes e Eventos Ltda;(79) 3024-0016;(79) 99136-2030;augustooliveirase@bol.com.br;http://augustusproduces.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Federacao Sergipana de Automobilismo;Federacao Sergipana de Automobilismo;(79) 99936-1125;(79) 99963-7646;fsa_automobilismo@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Iai Produções;Iai Produções E Eventos;(79) 99996-7686;;tadeulipe@yahoo.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Planejar;Planejar Gestão em Eventos Ltda;(79) 3011-2400;(79) 99899-2400;financeiro@planejarformaturas.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Badalando;Badalando Entretenimento e Lazer ME;(79) 99105-3200;(79) 99949-1545;operacional@badalando.com.br;http://badalando.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Dreams Eventos e Comunicação;Daniel de Aragao 95438882568;(79) 98865-0092;(79) 99903-2681;danielaragaoproducoes@gmail.com;https://feiradabelezamaceio.com.br;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Winner Producoes Artistica;Winner Producoes Artistica;(79) 3024-0016;(79) 99804-5663;contratoswinner@gmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Agencia Oba Promocoes, Marketing e Eventos;Oba Promocoes e Eventos Ltda;(79) 3214-9172;(79) 98812-1870;brunna@obapromocoes.com.br;https://www.obapromocoes.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Nivel Superior Formaturas;Nivel Superior Formaturas Ltda;(79) 98818-5224;(79) 99900-1279;gustavo@nivelsuperior.com.br;https://www.nivelsuperior.com.br/;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Bonitao Producoes e Eventos;Manoel Messias Menezes de Andrade;(79) 99115-0185;(79) 99115-0185;bonitaoeventos@hotmail.com;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
Arretado Comunicacao e Producoes Artisticas;Arretado Comunicacao e Producoes Artisticas Ltda;(79) 3241-3419;(79) 98113-0414;fabianooliveira@infonet.com.br;;https://www.facebook.com/abrapeoficial/;https://www.instagram.com/abrapeoficial
